,instruction,Category
3030,I want help to check the methods for delivery,Shipping
3031,wanna know about cancelling the newsletter subscription,Login and Account
3032,see invoicefrom {{Person Name}},Shipping
3033,i cant make payments help to report issues with payments,Order
3034,need assistance correcting the delivery  address,Shipping
3035,where do i ilst the accepted payment modalities,Order
3036,"I can't pay, could you help me report payment errors?",Order
3037,where to check the withdrawal penalty?,Cancellations and returns
3038,can I notify of an error with registrations?,Login and Account
3039,help me unsubscribe from ur corporate newsletter,Login and Account
3040,what do I need to do to get my bill #37777?,Shipping
3041,I need assistance to lodge a complaint against your company,Shopping
3042,is there an address to leave a comment for your company?,Shopping
3043,i want assistance to submit my feedback for a service,Shopping
3044,I want to see the early exit penalty,Cancellations and returns
3045,I am trying to see the current status of the rebate,Cancellations and returns
3046,is it possible to see in which cases can I ask for a refund?,Cancellations and returns
3047,checking status of order,Order
3048,i want help to see what methods for delivery are there,Shipping
3049,I cannot retrieve the bloody PIN code of my profile,Login and Account
3050,mail me the bills from {{Person Name}},Shipping
3051,help me to add several products to order {{Order Number}},Order
3052,can i order frrom {{Delivery Country}},Shipping
3053,can you help me earn an few of your item?,Order
3054,editing information on standard account,Login and Account
3055,can I change to the {{Account Category}} account?,Login and Account
3056,i have got to modify purchase {{Order Number}} help me,Order
3057,I need help to submit a new delivery address,Shipping
3058,i want help downloading invoice #00108,Shipping
3059,is there a section to leave feedback about a service?,Shopping
3060,"I have to correct my address, will you help me?",Shipping
3061,check at what time I can call customer service,Warranty
3062,I want to check the ETA of the purchase {{Order Number}},Order
3063,i do not know how to download the bill #37777,Shipping
3064,editting details on {{Account Category}} account,Login and Account
3065,want assistance to inform of problems with a registration,Login and Account
3066,I want to buy an article,Order
3067,is it possible to receive refunds of money?,Cancellations and returns
3068,"I need to see the withdrawal fee, how to do it?",Cancellations and returns
3069,i do not know how i could create a {{Account Type}} account,Login and Account
3070,new {{Account Type}} acount for wife,Login and Account
3071,i try to see what shipment options are available,Shipping
3072,help seing what hours i can contact customer service,Warranty
3073,where to check how soon can I expect the shipment?,Shipping
3074,I don't know how to check your available payment options,Order
3075,order some of your product,Order
3076,help checking what payment methods are accepted,Order
3077,locate order {{Order Number}},Order
3078,I want to retrieve the pw of my user account,Login and Account
3079,i dont know what i have to do to inform of signup issues,Login and Account
3080,i cannot check the compensation current status,Cancellations and returns
3081,can you help me cancelling the bloody purchase I made?,Order
3082,where can i see the early termination fees,Cancellations and returns
3083,can youshow me what hours I can contact customer support?,Warranty
3084,i dont know how to contact customer support,Warranty
3085,help me checking the ETA of purchase {{Order Number}},Order
3086,help me check what hours I can reach customer support,Warranty
3087,I want help restoring my PIN code,Login and Account
3088,I don't know how I can cancel purchase {{Order Number}},Order
3089,I don't know how I can change to the {{Account Category}} account,Login and Account
3090,how do I order a product?,Order
3091,help me to switch several articles of order {{Order Number}},Order
3092,I don't know how I can see when will my parcel arrive,Shipping
3093,assistance to cancel purchase {{Order Number}},Order
3094,need help retrieving my user account pin code,Login and Account
3095,how can i add some bloody products to order {{Order Number}},Order
3096,"I cannot remember my PIN, help me recovering it",Login and Account
3097,I have got to cancel purchase {{Order Number}},Order
3098,I want assistance solving a trouble with payments,Order
3099,assistance subscribing to the corporate newsleter,Login and Account
3100,I want assistance trying to correct the address,Shipping
3101,I can't notify of issues with a registration,Login and Account
3102,want help to list ru payment modalities,Order
3103,I don't know what I have to do to buy some of your article,Order
3104,question about opening user profiles,Login and Account
3105,I try to see in what cases can I request a refund,Cancellations and returns
3106,I want help to submit my secondary shipping address,Shipping
3107,I'm trying to lodge a customer claim against ur organization,Shopping
3108,i want assistance to solve issues with payment,Order
3109,need help with cancelliing order {{Order Number}},Order
3110,cance order {{Order Number}},Order
3111,help seeing what payment methods you accept,Order
3112,"you are not helpful, I need help chatting with an assistant",Warranty
3113,can ya help me switching several products  of order {{Order Number}},Order
3114,I have tl talk to a live agent,Warranty
3115,assistance to change the address,Shipping
3116,I'm waiting for a compensation of {{Refund Amount}} dollars,Cancellations and returns
3117,set new shipping address up,Shipping
3118,assistance setting up my secondary delivery address,Shipping
3119,i dont want order {{Order Number}} could i cancel it,Order
3120,I need help unsubscribing to the company newsletter,Login and Account
3121,do uship to {{Delivery City}},Shipping
3122,want assistance to speak with someone,Warranty
3123,I do not know what to do to get my bills from {{Person Name}},Shipping
